CREATEDATE	LOCALDATE (BEIJING)	SITE	RVR1M	RVR_1A	ST	RVR1X	RVR_10M	RVR_10A	ST.1	RVR_10X	RVR_TEND	MOR_1A	MOR_10M	MOR_10A	MOR_10X	VIS1K	VIS1A	VIS10A	BL1A	RVR DATA	MOR_RAW	VIS_RAW	LIGHTS	STATUS	RVR DATA.1	timestamp
2020-03-12 00:10:00	2020-03-12 08:10:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3100	3000	3100	3100	1208	3100	3100	5632	3159	3159	3159	100	0	VIS  3159.3 AL 00000000000000000000 BL 05632 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0C712	10
2020-03-12 00:11:00	2020-03-12 08:11:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3100	3000	3100	3100	1201	3100	3100	5655	3127	3128	3128	100	0	VIS  3127.8 AL 00000000000000000000 BL 05655 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 07EEC	11
2020-03-12 00:12:00	2020-03-12 08:12:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3100	3000	3100	3200	1208	3100	3100	5663	3202	3202	3202	100	0	VIS  3202.0 AL 00000000000000000000 BL 05663 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 079C3	12
2020-03-12 00:13:00	2020-03-12 08:13:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3000	3100	3200	1216	3200	3100	5688	3255	3255	3255	100	0	VIS  3255.2 AL 00000000000000000000 BL 05688 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0831B	13
2020-03-12 00:14:00	2020-03-12 08:14:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3000	3100	3200	1213	3200	3100	5710	3235	3235	3235	100	0	VIS  3235.2 AL 00000000000000000000 BL 05710 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 01BBF	14
2020-03-12 00:15:00	2020-03-12 08:15:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3000	3100	3200	1216	3200	3100	5744	3271	3272	3272	100	0	VIS  3271.5 AL 00000000000000000000 BL 05744 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0BF63	15
2020-03-12 00:16:00	2020-03-12 08:16:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3000	3100	3200	1201	3200	3100	5777	3183	3183	3183	100	0	VIS  3183.4 AL 00000000000000000000 BL 05777 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0E6E1	16
2020-03-12 00:17:00	2020-03-12 08:17:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3100	3000	3100	3200	1194	3100	3100	5814	3138	3139	3139	100	0	VIS  3138.5 AL 00000000000000000000 BL 05814 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 023B5	17
2020-03-12 00:18:00	2020-03-12 08:18:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3100	3000	3100	3200	1201	3100	3100	5858	3215	3216	3216	100	0	VIS  3215.5 AL 00000000000000000000 BL 05858 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0663E	18
2020-03-12 00:19:00	2020-03-12 08:19:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1208	3200	3200	5873	3284	3285	3285	100	0	VIS  3284.8 AL 00000000000000000000 BL 05873 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0D94B	19
2020-03-12 00:20:00	2020-03-12 08:20:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1208	3200	3200	5864	3261	3261	3261	100	0	VIS  3261.0 AL 00000000000000000000 BL 05864 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0C337	20
2020-03-12 00:21:00	2020-03-12 08:21:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3300	3100	3200	3300	1213	3300	3200	5845	3308	3308	3308	100	0	VIS  3308.3 AL 00000000000000000000 BL 05845 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 08224	21
2020-03-12 00:22:00	2020-03-12 08:22:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1201	3200	3200	5836	3206	3207	3207	100	0	VIS  3206.6 AL 00000000000000000000 BL 05836 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 09499	22
2020-03-12 00:23:00	2020-03-12 08:23:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1208	3200	3200	5838	3245	3246	3246	100	0	VIS  3245.8 AL 00000000000000000000 BL 05838 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 03312	23
2020-03-12 00:24:00	2020-03-12 08:24:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1205	3200	3200	5853	3241	3241	3241	100	0	VIS  3241.1 AL 00000000000000000000 BL 05853 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0B7FC	24
2020-03-12 00:25:00	2020-03-12 08:25:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1208	3200	3200	5869	3261	3261	3261	100	0	VIS  3261.4 AL 00000000000000000000 BL 05869 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0A233	25
2020-03-12 00:26:00	2020-03-12 08:26:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1213	3200	3200	5884	3305	3306	3306	100	0	VIS  3305.8 AL 00000000000000000000 BL 05884 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0122C	26
2020-03-12 00:27:00	2020-03-12 08:27:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3100	3200	3300	1201	3200	3200	5908	3242	3243	3243	100	0	VIS  3242.8 AL 00000000000000000000 BL 05908 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 082A9	27
2020-03-12 00:28:00	2020-03-12 08:28:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3200	3200	3200	3300	1205	3200	3200	5928	3278	3279	3279	100	0	VIS  3278.7 AL 00000000000000000000 BL 05928 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0060B	28
2020-03-12 00:29:00	2020-03-12 08:29:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3300	3200	3200	3300	1213	3300	3200	5934	3336	3337	3337	100	0	VIS  3336.6 AL 00000000000000000000 BL 05934 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 05457	29
2020-03-12 00:30:00	2020-03-12 08:30:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3300	3200	3200	3300	1220	3300	3200	5946	3395	3396	3396	100	0	VIS  3395.9 AL 00000000000000000000 BL 05946 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0CA71	30
2020-03-12 00:31:00	2020-03-12 08:31:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3200	3200	3500	1235	3400	3200	5973	3520	3520	3520	100	0	VIS  3520.4 AL 00000000000000000000 BL 05973 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 02EA9	31
2020-03-12 00:32:00	2020-03-12 08:32:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3200	3300	3500	1223	3500	3300	6026	3464	3464	3464	100	0	VIS  3464.1 AL 00000000000000000000 BL 06026 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 05806	32
2020-03-12 00:33:00	2020-03-12 08:33:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3200	3300	3600	1235	3500	3300	6172	3609	3610	3610	100	0	VIS  3609.7 AL 00000000000000000000 BL 06172 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 01791	33
2020-03-12 00:34:00	2020-03-12 08:34:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3200	3300	3600	1231	3600	3300	6201	3633	3634	3634	100	0	VIS  3633.8 AL 00000000000000000000 BL 06201 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 088AC	34
2020-03-12 00:35:00	2020-03-12 08:35:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3200	3400	3600	1208	3500	3400	6229	3456	3456	3456	100	0	VIS  3456.4 AL 00000000000000000000 BL 06229 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0BC39	35
2020-03-12 00:36:00	2020-03-12 08:36:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3200	3400	3600	1223	3500	3400	6138	3520	3520	3520	100	0	VIS  3520.1 AL 00000000000000000000 BL 06138 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 060FE	36
2020-03-12 00:37:00	2020-03-12 08:37:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3200	3400	3600	1220	3400	3400	6100	3463	3464	3464	100	0	VIS  3463.5 AL 00000000000000000000 BL 06100 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0297D	37
2020-03-12 00:38:00	2020-03-12 08:38:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3200	3400	3600	1223	3400	3400	6103	3509	3510	3510	100	0	VIS  3509.9 AL 00000000000000000000 BL 06103 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 02686	38
2020-03-12 00:39:00	2020-03-12 08:39:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3300	3400	3600	1216	3400	3400	6114	3451	3451	3451	100	0	VIS  3451.3 AL 00000000000000000000 BL 06114 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 023FD	39
2020-03-12 00:40:00	2020-03-12 08:40:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3400	3500	3600	1216	3400	3500	6113	3440	3441	3441	100	0	VIS  3440.8 AL 00000000000000000000 BL 06113 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 06D40	40
2020-03-12 00:41:00	2020-03-12 08:41:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3400	3500	3600	1220	3400	3500	6108	3484	3484	3484	100	0	VIS  3484.1 AL 00000000000000000000 BL 06108 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0A877	41
2020-03-12 00:42:00	2020-03-12 08:42:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3400	3400	3600	1216	3400	3400	6110	3434	3434	3434	100	0	VIS  3434.1 AL 00000000000000000000 BL 06110 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0A01B	42
2020-03-12 00:43:00	2020-03-12 08:43:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3300	3400	3600	1208	3400	3400	6118	3385	3385	3385	100	0	VIS  3385.0 AL 00000000000000000000 BL 06118 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0C964	43
2020-03-12 00:44:00	2020-03-12 08:44:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3300	3400	3500	1216	3400	3400	6122	3462	3462	3462	100	0	VIS  3462.1 AL 00000000000000000000 BL 06122 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 00968	44
2020-03-12 00:45:00	2020-03-12 08:45:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3300	3400	3500	1213	3400	3400	6134	3438	3438	3438	100	0	VIS  3438.0 AL 00000000000000000000 BL 06134 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 02CB4	45
2020-03-12 00:46:00	2020-03-12 08:46:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3300	3400	3500	1208	3400	3400	6138	3408	3409	3409	100	0	VIS  3408.7 AL 00000000000000000000 BL 06138 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 00EB5	46
2020-03-12 00:47:00	2020-03-12 08:47:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3300	3300	3400	3500	1201	3300	3400	6134	3329	3330	3330	100	0	VIS  3329.6 AL 00000000000000000000 BL 06134 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 00974	47
2020-03-12 00:48:00	2020-03-12 08:48:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3300	3400	3500	1223	3400	3400	6087	3525	3525	3525	100	0	VIS  3525.0 AL 00000000000000000000 BL 06087 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 091EA	48
2020-03-12 00:49:00	2020-03-12 08:49:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3300	3400	3500	1231	3500	3400	6087	3556	3556	3556	100	0	VIS  3556.2 AL 00000000000000000000 BL 06087 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 03EDC	49
2020-03-12 00:50:00	2020-03-12 08:50:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3300	3400	3500	1223	3500	3400	6072	3520	3520	3520	100	0	VIS  3520.2 AL 00000000000000000000 BL 06072 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 08FC0	50
2020-03-12 00:51:00	2020-03-12 08:51:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3400	3300	3400	3500	1223	3400	3400	6064	3490	3490	3490	100	0	VIS  3490.0 AL 00000000000000000000 BL 06064 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 01294	51
2020-03-12 00:52:00	2020-03-12 08:52:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3300	3400	3500	1228	3500	3400	6050	3528	3529	3529	100	0	VIS  3528.8 AL 00000000000000000000 BL 06050 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0A151	52
2020-03-12 00:53:00	2020-03-12 08:53:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3300	3400	3500	1235	3500	3400	6052	3571	3572	3572	100	0	VIS  3571.9 AL 00000000000000000000 BL 06052 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0977C	53
2020-03-12 00:54:00	2020-03-12 08:54:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3300	3400	3500	1238	3500	3400	6029	3597	3598	3598	100	0	VIS  3597.8 AL 00000000000000000000 BL 06029 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 06F1D	54
2020-03-12 00:55:00	2020-03-12 08:55:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3300	3500	3600	1238	3600	3500	6017	3588	3589	3589	100	0	VIS  3588.7 AL 00000000000000000000 BL 06017 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 08CF2	55
2020-03-12 00:56:00	2020-03-12 08:56:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3500	3300	3500	3600	1243	3500	3500	6003	3612	3612	3612	100	0	VIS  3612.4 AL 00000000000000000000 BL 06003 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 09E20	56
2020-03-12 00:57:00	2020-03-12 08:57:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3300	3500	3600	1238	3600	3500	6069	3599	3600	3600	100	0	VIS  3599.7 AL 00000000000000000000 BL 06069 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0AE9B	57
2020-03-12 00:58:00	2020-03-12 08:58:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3400	3500	3600	1238	3600	3500	6096	3656	3656	3656	100	0	VIS  3656.2 AL 00000000000000000000 BL 06096 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 02881	58
2020-03-12 00:59:00	2020-03-12 08:59:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3400	3500	3600	1246	3600	3500	6008	3641	3641	3641	100	0	VIS  3641.2 AL 00000000000000000000 BL 06008 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 09A0B	59
2020-03-12 01:00:00	2020-03-12 09:00:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3400	3500	3600	1238	3600	3500	6099	3627	3627	3627	100	0	VIS  3627.0 AL 00000000000000000000 BL 06099 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 092BD	60
2020-03-12 01:01:00	2020-03-12 09:01:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3500	3600	3600	1246	3600	3600	6133	3696	3696	3696	100	0	VIS  3696.3 AL 00000000000000000000 BL 06133 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 01607	61
2020-03-12 01:02:00	2020-03-12 09:02:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3500	3600	3700	1243	3700	3600	6191	3707	3707	3707	100	0	VIS  3707.4 AL 00000000000000000000 BL 06191 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0EA57	62
2020-03-12 01:03:00	2020-03-12 09:03:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3500	3600	3700	1238	3600	3600	6186	3665	3665	3665	100	0	VIS  3665.4 AL 00000000000000000000 BL 06186 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 036B1	63
2020-03-12 01:04:00	2020-03-12 09:04:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3500	3600	3700	1243	3600	3600	6269	3742	3743	3743	100	0	VIS  3742.8 AL 00000000000000000000 BL 06269 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 02573	64
2020-03-12 01:05:00	2020-03-12 09:05:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3500	3600	3700	1238	3700	3600	6315	3722	3723	3723	100	0	VIS  3722.7 AL 00000000000000000000 BL 06315 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0FB04	65
2020-03-12 01:06:00	2020-03-12 09:06:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3500	3600	3700	1223	3600	3600	6463	3691	3691	3691	100	0	VIS  3691.1 AL 00000000000000000000 BL 06463 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0EEA9	66
2020-03-12 01:07:00	2020-03-12 09:07:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3600	3600	3700	1223	3700	3600	6486	3703	3703	3703	100	0	VIS  3703.4 AL 00000000000000000000 BL 06486 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 01254	67
2020-03-12 01:08:00	2020-03-12 09:08:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3600	3600	3700	1220	3700	3600	6643	3728	3728	3728	100	0	VIS  3728.1 AL 00000000000000000000 BL 06643 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 06F1B	68
2020-03-12 01:09:00	2020-03-12 09:09:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3600	3700	3700	1220	3700	3700	6692	3785	3785	3785	100	0	VIS  3785.0 AL 00000000000000000000 BL 06692 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 095A3	69
2020-03-12 01:10:00	2020-03-12 09:10:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3800	3600	3700	3800	1228	3800	3700	6747	3851	3852	3852	100	0	VIS  3851.7 AL 00000000000000000000 BL 06747 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0968F	70
2020-03-12 01:11:00	2020-03-12 09:11:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3600	3700	3800	1205	3700	3700	6906	3711	3712	3712	100	0	VIS  3711.7 AL 00000000000000000000 BL 06906 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0B7B5	71
2020-03-12 01:12:00	2020-03-12 09:12:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3600	3700	3800	1201	3700	3700	7004	3729	3730	3730	100	0	VIS  3729.8 AL 00000000000000000000 BL 07004 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 072ED	72
2020-03-12 01:13:00	2020-03-12 09:13:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3600	3700	3800	1187	3700	3700	7214	3712	3713	3713	100	0	VIS  3712.6 AL 00000000000000000000 BL 07214 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0FDEA	73
2020-03-12 01:14:00	2020-03-12 09:14:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3600	3600	3700	3800	1179	3600	3700	7181	3647	3648	3648	100	0	VIS  3647.5 AL 00000000000000000000 BL 07181 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 03D9C	74
2020-03-12 01:15:00	2020-03-12 09:15:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3700	3600	3700	3800	1198	3700	3700	7225	3815	3815	3815	100	0	VIS  3815.4 AL 00000000000000000000 BL 07225 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0B4BA	75
2020-03-12 01:16:00	2020-03-12 09:16:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3800	3600	3700	3800	1194	3800	3700	7356	3841	3841	3841	100	0	VIS  3841.3 AL 00000000000000000000 BL 07356 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0E38E	76
2020-03-12 01:17:00	2020-03-12 09:17:00	R06	3000	3000	 	3000	3000	3000	 	3000	0	3800	3600	3700	3900	1187	3800	3700	7691	3914	3915	3915	100	0	VIS  3914.7 AL 00000000000000000000 BL 07691 AL 0 WMO // WMO15M // WMO60M // RN1M ////// RNSUM ////// SNSUM //// TMP ///// AL 0EC26	77
